Card_Id,Disp_Id,Type,Issued
1005,9285,Gold,2017-11-07 00:00:00
104,588,Gold,2018-01-19 00:00:00
747,4915,Gold,2018-02-05 00:00:00
70,439,Gold,2018-02-08 00:00:00
577,3687,Gold,2018-02-15 00:00:00
377,2429,Gold,2018-03-03 00:00:00
721,4680,Silver,2018-04-05 00:00:00
437,2762,Gold,2018-06-01 00:00:00
188,1146,Gold,2018-06-19 00:00:00
13,87,Gold,2018-06-29 00:00:00
732,4763,Gold,2018-07-21 00:00:00
181,1066,Gold,2018-08-19 00:00:00
384,2475,Silver,2018-09-15 00:00:00
309,1946,Gold,2018-09-19 00:00:00
478,3084,Gold,2018-10-09 00:00:00
563,3589,Gold,2018-10-21 00:00:00
369,2363,Gold,2018-11-08 00:00:00
376,2428,Gold,2018-11-10 00:00:00
483,3115,Gold,2018-11-24 00:00:00
174,1039,Silver,2018-12-04 00:00:00
658,4251,Gold,2018-12-25 00:00:00
763,5138,Silver,2018-12-30 00:00:00
778,5275,Gold,2019-01-02 00:00:00
1039,9837,Gold,2019-01-07 00:00:00
477,3082,Silver,2019-01-16 00:00:00
168,1018,Gold,2019-01-24 00:00:00
314,1999,Silver,2019-01-27 00:00:00
468,3023,Gold,2019-01-30 00:00:00
208,1246,Diamond,2019-02-08 00:00:00
766,5200,Gold,2019-02-11 00:00:00
464,2984,Gold,2019-02-21 00:00:00
497,3184,Gold,2019-03-03 00:00:00
166,999,Gold,2019-03-05 00:00:00
15,114,Gold,2019-03-05 00:00:00
503,3225,Gold,2019-03-08 00:00:00
1038,9787,Silver,2019-03-30 00:00:00
737,4791,Gold,2019-04-13 00:00:00
418,2623,Gold,2019-04-14 00:00:00
759,5117,Silver,2019-04-18 00:00:00
223,1353,Gold,2019-04-18 00:00:00
5,51,Silver,2019-04-24 00:00:00
159,946,Gold,2019-05-01 00:00:00
1223,13231,Silver,2019-05-02 00:00:00
662,4293,Gold,2019-05-09 00:00:00
779,5323,Silver,2019-05-21 00:00:00
1040,9890,Silver,2019-05-28 00:00:00
545,3458,Gold,2019-05-30 00:00:00
467,3019,Gold,2019-06-05 00:00:00
