Loan_Id,Account_Id,Date,Amount,Duration,Payments,Status
5314,1787,2016-07-05 00:00:00,96396,12,8033,Loan Not Paid
5316,1801,2016-07-11 00:00:00,165960,36,4610,Contract Finished
6863,9188,2016-07-28 00:00:00,127080,60,2118,Contract Finished
5325,1843,2016-08-03 00:00:00,105804,36,2939,Contract Finished
7240,11013,2016-09-06 00:00:00,274740,60,4579,Contract Finished
6687,8261,2016-09-13 00:00:00,87840,24,3660,Contract Finished
7284,11265,2016-09-15 00:00:00,52788,12,4399,Contract Finished
6111,5428,2016-09-24 00:00:00,174744,24,7281,Loan Not Paid
7235,10973,2016-10-13 00:00:00,154416,48,3217,Contract Finished
5997,4894,2016-11-04 00:00:00,117024,24,4876,Contract Finished
7121,10364,2016-11-10 00:00:00,21924,36,609,Contract Finished
6077,5270,2016-11-22 00:00:00,79608,24,3317,Contract Finished
6228,6034,2016-12-01 00:00:00,464520,60,7742,Loan Not Paid
6356,6701,2016-12-08 00:00:00,95400,36,2650,Contract Finished
5523,2705,2016-12-08 00:00:00,93888,36,2608,Contract Finished
6456,7123,2016-12-09 00:00:00,47016,12,3918,Contract Finished
7104,10320,2016-12-13 00:00:00,259740,60,4329,Contract Finished
6820,9034,2016-12-16 00:00:00,38148,12,3179,Contract Finished
6876,9236,2016-12-21 00:00:00,86616,12,7218,Contract Finished
7097,10266,2016-12-23 00:00:00,75624,24,3151,Loan Not Paid
4959,2,2017-01-05 00:00:00,80952,24,3373,Contract Finished
6499,7401,2017-01-05 00:00:00,80952,24,3373,Contract Finished
5479,2486,2017-01-10 00:00:00,24516,12,2043,Contract Finished
5170,1071,2017-01-20 00:00:00,253200,60,4220,Running Contract
6721,8475,2017-01-21 00:00:00,21072,24,878,Contract Finished
7259,11111,2017-01-31 00:00:00,108144,36,3004,Contract Finished
5285,1603,2017-02-06 00:00:00,78936,12,6578,Contract Finished
5189,1166,2017-02-07 00:00:00,149040,48,3105,Contract Finished
6650,8073,2017-02-17 00:00:00,49320,12,4110,Loan Not Paid
7226,10940,2017-02-23 00:00:00,197748,36,5493,Contract Finished
6087,5313,2017-02-27 00:00:00,300660,60,5011,Running Contract
7262,11135,2017-03-01 00:00:00,182628,36,5073,Contract Finished
5519,2694,2017-03-08 00:00:00,91632,12,7636,Contract Finished
6577,7753,2017-03-11 00:00:00,51696,24,2154,Contract Finished
6509,7445,2017-03-15 00:00:00,55368,24,2307,Contract Finished
6520,7485,2017-03-16 00:00:00,91200,24,3800,Contract Finished
6699,8330,2017-03-30 00:00:00,7656,24,319,Contract Finished
6336,6555,2017-03-31 00:00:00,212400,36,5900,Contract Finished
7055,10079,2017-04-06 00:00:00,167100,60,2785,Running Contract
6103,5385,2017-04-07 00:00:00,149340,60,2489,Running Contract
6202,5891,2017-04-18 00:00:00,65184,12,5432,Contract Finished
7066,10131,2017-05-02 00:00:00,215388,36,5983,Loan Not Paid
6696,8321,2017-05-09 00:00:00,89040,60,1484,Running Contract
6072,5256,2017-05-10 00:00:00,193968,36,5388,Contract Finished
5130,813,2017-05-11 00:00:00,24312,12,2026,Contract Finished
5568,2933,2017-05-17 00:00:00,272520,60,4542,Running Contract
6678,8173,2017-05-20 00:00:00,80340,12,6695,Contract Finished
6998,9833,2017-05-21 00:00:00,97632,12,8136,Contract Finished
6580,7769,2017-05-22 00:00:00,196080,48,4085,Contract Finished
6316,6473,2017-05-26 00:00:00,76908,12,6409,Loan Not Paid
6512,7454,2017-05-26 00:00:00,63312,48,1319,Contract Finished
6407,6930,2017-05-26 00:00:00,25944,24,1081,Contract Finished
5002,173,2017-05-31 00:00:00,104808,12,8734,Contract Finished
6647,8051,2017-06-01 00:00:00,208320,48,4340,Contract Finished
7137,10439,2017-06-03 00:00:00,151560,24,6315,Contract Finished
6903,9337,2017-06-04 00:00:00,52128,24,2172,Contract Finished
5918,4576,2017-06-04 00:00:00,300204,36,8339,Contract Finished
6642,8027,2017-06-05 00:00:00,77640,12,6470,Contract Finished
6210,5927,2017-06-06 00:00:00,87216,48,1817,Loan Not Paid
6279,6273,2017-06-07 00:00:00,87360,24,3640,Contract Finished
7249,11065,2017-06-12 00:00:00,69360,48,1445,Contract Finished
6736,8558,2017-06-14 00:00:00,288360,60,4806,Running Contract
6112,5442,2017-06-17 00:00:00,174744,24,7281,Loan Not Paid
5319,1811,2017-06-23 00:00:00,239460,60,3991,Running Contract
